FechaHora,Fecha,Hora,Punto,Foto,Individuos,Clase,Especie,Observaciones,
25/05/2023 7:54:00,25/05/2023,07:54:00,QC05_2,IMG_0353,1,,Btau,,
25/05/2023 9:04:00,25/05/2023,09:04:00,QC05_2,IMG_0401,1,,Btau,,
29/05/2023 9:26:00,29/05/2023,09:26:00,QC05_2,IMG_0417,1,,Btau,,
29/05/2023 16:57:00,29/05/2023,16:57:00,QC05_2,IMG_0419,1,,Btau,,
30/05/2023 15:49:00,30/05/2023,15:49:00,QC05_2,IMG_0422,1,,Oori,,
3/06/2023 13:07:00,03/06/2023,13:07:00,QC05_2,IMG_0428,3,,Ave_sp,,
6/06/2023 19:36:00,06/06/2023,19:36:00,QC05_2,IMG_0433,1,,Ecab,,
10/06/2023 20:46:00,10/06/2023,20:46:00,QC05_2,IMG_0470,1,,Mamifero_sp,,
11/06/2023 8:21:00,11/06/2023,08:21:00,QC05_2,IMG_0473,1,,Btau,,
12/06/2023 1:43:00,12/06/2023,01:43:00,QC05_2,IMG_0477,1,,Mgou,,
16/06/2023 15:44:00,16/06/2023,15:44:00,QC05_2,IMG_0512,1,,Ccam,Z_cam_caida,
17/06/2023 7:46:00,17/06/2023,07:46:00,QC05_2,IMG_0523,1,,Btau,Z_cam_caida,
27/04/2023 16:09:00,27/04/2023,16:09:00,QC05_1,IMG_0007,1,,Zorro_sp,,
14/05/2023 9:20:00,14/05/2023,09:20:00,QC05_1,IMG_0010,1,,Btau,,
24/05/2023 13:36:00,24/05/2023,13:36:00,QC05_1,IMG_0014,3,,Btau,,
13/06/2023 10:37:00,13/06/2023,10:37:00,QC05_1,IMG_0025,1,,Btau,,
16/04/2023 9:28:00,16/04/2023,09:28:54,QC09_3,STC_1193,4,,Btau,,
16/04/2023 16:39:00,16/04/2023,16:39:11,QC09_3,STC_1214,1,,Btau,,
16/04/2023 16:39:00,16/04/2023,16:39:44,QC09_3,STC_1220,2,,Cfam,Pers_caballo,
16/04/2023 22:06:00,16/04/2023,22:06:28,QC09_3,STC_1225,4,,Ecab,,
18/04/2023 7:39:00,18/04/2023,07:39:23,QC09_3,STC_1399,5,,Btau,,
18/04/2023 8:48:00,18/04/2023,08:48:28,QC09_3,STC_1700,3,,Caur,,
18/04/2023 11:44:00,18/04/2023,11:44:28,QC09_3,STC_2677,1,,Rame,,
18/04/2023 12:38:00,18/04/2023,12:38:55,QC09_3,STC_3521,4,,Oori,,
18/04/2023 13:44:00,18/04/2023,13:44:18,QC09_3,STC_4503,2,,Caur,,
18/04/2023 16:09:00,18/04/2023,16:09:08,QC09_3,STC_6216,1,,Caur,,
18/04/2023 16:48:00,18/04/2023,16:48:04,QC09_3,STC_6593,5,,Oori,,
19/04/2023 6:56:00,19/04/2023,06:56:38,QC09_3,STC_7276,3,,Btau,,
19/04/2023 9:34:00,19/04/2023,09:34:12,QC09_3,STC_7315,3,,Pvir,,
19/04/2023 10:42:00,19/04/2023,10:42:18,QC09_3,STC_7318,4,,Oori,,
19/04/2023 15:34:00,19/04/2023,15:34:08,QC09_3,STC_7426,5,,Oori,,
20/04/2023 8:29:00,20/04/2023,08:29:36,QC09_3,STC_7531,2,,Oori,,
20/04/2023 9:06:00,20/04/2023,09:06:27,QC09_3,STC_7534,1,,Ave_sp,,
20/04/2023 10:26:00,20/04/2023,10:26:58,QC09_3,STC_7549,1,,Ave_sp,,
